,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year
,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
품종별,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
밴댕이,-,-,-,-,-,-,2869,6227,9607,4212,5102,4244,5625,10606,10829,8994,14033,10300,10693,7280,2640,3818,2969,24383,23974,18345,10663,5593,1974,6674,4603,766,788,885,755,1756,953,795,4893,5983,1787,1685,2036,891,1497,2852,2003,1501,1827,2168,1177,2828,1821,3452
뱅어류,777,1772,928,5463,5463,6987,10434,7250,5789,2014,5344,10932,7834,1897,5496,7529,8162,4552,6479,14528,14507,15704,16571,5131,4527,4806,5073,919,1029,3374,9693,3831,2247,3718,1888,6955,2967,1505,567,137,-,-,-,-,-,-,-,-,-,-,-,-,-,-
병어류,4727,4492,8318,11065,15796,24191,18716,12857,11467,13714,14169,14091,14431,9018,10833,9294,13509,11804,4765,8480,10304,10062,8434,8101,9849,10896,9484,10770,13210,15235,7838,6819,6191,7496,9286,11448,13873,9489,8120,5929,8871,6600,4986,5387,3419,3314,4747,5909,8268,8678,7637,8194,7751,8066
보구치,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,930,1983,2574,2509,1565,1777,2196,1864,998,734,460,320,287,338,547,656,682,846,1007,1152,1190,1796,2306,2330,2371,2740,3471,3233,3011,4085,4268
보리멸,-,-,-,-,369,1092,1093,1924,1945,10618,799,2487,279,998,289,160,709,103,160,141,274,137,119,109,157,199,248,199,48,107,100,10,15,14,8,22,165,215,131,231,1,-,-,-,-,-,-,-,-,-,-,-,-,-
복어류,4096,3127,3046,7629,4032,3971,3429,5431,4268,3646,2951,1899,7460,2052,3110,3338,3349,3775,3282,4427,6914,5208,9418,5677,4182,10178,9708,7471,3897,4787,2978,3735,3110,2486,3971,2226,3368,2512,2820,4368,3194,3797,3021,3860,4002,4200,4768,3790,3976,4421,2636,3716,4336,4881
조피볼락,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1340,1540,1695,1854,1813,2092,1813,2682,2765,3227,3811,3774,3000,3713,4037,4477,3178,2351,2657,2922,2411,2362,2399,2121,2179,2259,2136,1643,1617,1725,1423
기타볼락류,1548,1338,1132,1348,1741,5556,4596,6417,4096,4295,4665,5403,5254,6682,4870,5790,5970,6181,5768,6453,5072,5064,5150,4246,3337,2979,2793,3601,2510,2760,2105,2238,1669,2222,1266,1725,1400,1772,1111,1033,1455,1617,1610,1573,1594,1771,1416,1466,1750,2028,2062,1673,1535,1675
노래미류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1407,2578,2554,2968,2966,2760,2514,2103,2103,2341,1757,1570,1711,1268,1105,1079,1043,925,984,776,782
부세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,304,120,217,276,546,801,332,294,270,354,426,325,220,65,38,125,77,166,148,192,225,152,190,557,663,434,422,693,321,307,208,185,236
