,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year
,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
품종별,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
가무락,-,-,-,-,-,552,607,2104,2579,637,1425,930,528,552,410,320,488,443,1786,1310,232,252,135,634,126,66,27,5,33,3,46,25,219,189,79,80,256,134,68,74,109,272,17,62,91,0,19,2,1,184,-,-,-,15
개량조개류,-,-,-,-,-,-,221,55,2,52,326,418,106,-,497,-,11,-,-,-,-,0,-,-,0,-,-,1,-,2,1,6,-,0,-,-,-,-,-,-,-,5,-,-,0,-,-,-,-,-,-,-,-,-
꼬막,19295,18087,10767,12268,13693,9736,11953,10128,6350,5651,5427,4630,7950,5113,10312,12038,11520,14584,14502,10299,11113,16325,16441,3290,10375,13027,4473,2843,5041,2511,820,3842,413,2440,10849,3226,5063,28372,1637,2966,1155,1616,2232,1590,935,96,142,85,55,37,40,143,46,44
새꼬막,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4631,2369,4439,8375,6725,4506,5763,4844
동죽,-,-,-,-,-,-,80,2602,206,2466,2158,207,1310,3491,544,1666,1757,4300,3242,8488,5607,3546,1406,1061,429,478,183,19,-,-,-,-,-,-,-,-,-,3,213,-,-,-,-,361,31,10,10,52,-,-,-,-,-,-
맛류,-,-,-,-,-,-,-,-,-,-,-,-,-,44,3,-,1,-,4,-,31,24,-,5373,7486,7169,6843,6585,68,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
바지락,5747,8316,8988,10933,13919,15385,18553,23366,20115,26567,30096,32170,28963,23347,17167,14350,35992,54132,51245,64973,61713,45537,54402,10046,19035,15260,18478,13958,17178,16135,17927,16433,10652,27494,27570,17401,14327,18819,15541,17905,23430,25699,12623,4580,7213,10276,14566,10435,19853,22254,18054,23818,22704,2597
백합류,5602,8521,7392,6906,5423,6259,2973,2504,751,1014,779,599,450,133,91,161,350,264,418,102,133,246,192,145,77,122,47,47,-,17,-,26,5,167,127,47,107,181,39,64,-,7,-,32,46,36,6,-,-,-,-,3,-,-
새조개,-,-,-,-,-,-,-,-,-,-,973,1483,260,-,764,1148,307,623,296,126,98,380,316,-,-,-,-,-,52,19,-,0,-,73,-,2,-,-,-,-,-,-,-,-,-,1,-,151,44,-,-,-,-,5
코끼리조개,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
키조개,-,-,-,-,-,-,-,-,-,-,-,-,-,-,360,1,8,2,-,5,11,441,-,13,646,51,3,22,190,1104,1998,1240,577,783,1997,4950,872,3870,1318,1320,748,830,81,1,1,50,44,1,-,11,-,2147,1615,1016
피조개,-,-,-,-,-,450,427,202,665,1548,2301,12193,20389,11047,23019,48073,58393,58092,49013,16947,17758,16702,20547,11613,13646,9357,20166,13156,23029,8550,10618,7359,4745,4696,3134,2548,2064,3015,1903,1714,1560,2110,1872,2227,2921,3167,3063,4125,8476,3034,2248,1409,2405,4767
홍합류,6888,16778,14070,7765,5578,12899,29348,60536,34003,86509,61301,61877,37826,41594,26041,48239,34557,26064,15693,7925,9759,9495,9689,55183,39764,75353,70058,63572,17785,15042,11713,13653,13201,15785,20409,43953,81617,98121,67442,55035,54440,70416,61310,34429,51463,51642,54642,76161,49485,59759,61968,63672,53064,54322
개조개,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0
기타패류,346,970,802,320,731,625,288,1950,1675,2327,4624,3927,1753,20,51,164,544,265,-,23,-,9,-,-,78,6,915,15,0,11,15,282,302,20,21,65,116,219,-,-,0,0,0,-,-,-,-,-,3,-,-,0,-,-
낙지류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
문어류,-,1,2,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
미더덕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4391,9089,8859,12428,11523,9972,6903,8102,7754,3675,4205,2442,5650,11292,13889,15084,5266,2047,2590,1412,1519,2309,2620,3845,2920,2655,2492,2759,1641,4119,1201,1865,403,1178,1414,2965,588,860
성게류,-,-,-,-,-,-,-,-,-,-,-,55,66,-,-,5,34,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
우렁쉥이,-,-,-,-,-,-,-,-,-,-,-,-,39,33,157,9069,15205,10048,14014,24344,20768,6994,4821,13923,42822,22626,13093,22318,8177,11845,2336,4603,9613,3116,6349,9334,7127,9318,7826,7208,6364,11676,9031,10282,7037,21326,31353,26273,37312,26040,30613,17400,17928,24693
해삼,-,-,-,-,-,-,-,-,-,-,-,-,1,153,1,-,70,-,-,-,0,2,2,318,-,1,0,0,0,0,-,-,-,-,-,1,-,-,-,-,-,92,10,23,9,-,4,32,14,93,50,16,2,0
오만둥이,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4899,5690,5504,6372,5868,2881,7025,4513,6101,6361,5116,3919,3512,2464,1545,732
기타수산동물류,-,-,-,-,-,-,-,-,-,-,-,-,600,6967,11490,10501,1096,-,5,-,-,-,-,-,-,-,-,-,15711,12779,12940,14146,7174,3248,237,80,1849,3594,-,0,-,-,22,-,-,-,-,-,1,-,-,0,-,-
김류,35782,34801,23042,34763,54440,44672,44234,57718,28748,43787,56274,80490,79784,87963,136484,109819,143369,83287,115749,141355,97637,143945,163555,235272,269581,192960,166199,140236,191578,205706,130488,167909,209995,193553,228554,197610,217559,210956,224242,211444,235534,316428,349827,405525,397841,386646,409408,523648,567162,605767,536127,547413,550221,533249
꼬시래기류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,-,-,-,-,-,-,-,4,24,5,-,0,-,-,-,-
개꼬시래기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1634,862,1769,3672,932,2356,3087
다시마류,-,-,-,-,2334,2758,8342,2122,5516,5192,940,1963,3987,11606,7927,11796,9445,9980,11612,2617,8084,8938,9560,17180,30421,27295,35640,33466,7931,25447,14160,17506,24873,25259,22510,108327,201919,250049,285221,306183,241322,246701,308601,373264,372311,442637,433246,542285,572600,662558,675074,685239,560839,595931
모자반(말)류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,877,919,490,1059,1826,2383,2529,1354,24,145,86,-,-,-,-,-,-,-,-
모자반(몰),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,301,263,176,274,342,320,362
미역류,6625,11103,29028,107848,186805,112026,136659,173978,144601,143305,196147,294622,225045,237128,230188,256436,346434,285085,281657,280856,269333,266966,371432,372182,411602,386819,305813,431872,239742,213706,212429,175490,242135,198172,261574,281871,322371,309097,381076,309155,393616,394003,339924,327375,283707,333061,496290,622613,515666,520267,501501,574504,584133,566564
우뭇가사리,1149,996,866,588,951,981,247,57,44,6,560,88,-,3,-,246,305,218,-,-,-,-,5,10,-,-,-,-,-,16,0,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
기타가사리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,14,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
청각,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,-,224,427,-,-,-,1,2,8,-,-,43,164,7,72,53,142,1597,165,158,1186,1796,1394,1005,855,2045,5550,3895,4279,3980,3349,3258,7108,11317,2462,7594
톳,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4325,8497,13289,11572,23871,20168,23920,11408,18163,27621,31669,37679,23054,34470,24993,22679,11654,6865,11016,33661,22814,30058,21125,20909,17701,19533,21133,23351,13024,13311,16563,28157,32762,54624,36170,39214,27575,16497,14761,17710
파래류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4734,10658,11040,7588,8670,10116,12463,14367,17248,12053,6918,4344,8272,7794,5298,5873,5288,5760,9291,1355,1154,814,682,684,8003,5903,4531,6085,6002,5034,6055,6603,7158,6159,6783,6306,8242,7898,5088,8287
매생이,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2536,2819,1759,2179,2739,4727,5021,3777,3193,6276,6969,3386,2063,2981,3789,2745
곰피,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2262,3708,6243
기타해조류,756,1918,972,299,265,1360,2056,2367,2256,3373,3959,5900,5719,10527,-,9,215,301,10,-,5,2,-,-,5,-,4,5,227,200,273,1,171,1,-,2,173,565,-,-,-,2,-,-,-,-,-,0,-,-,-,0,-,-
