시점,계,계,경기도,경기도,강원도,강원도,충청남도,충청남도,전라북도,전라북도,전라남도,전라남도,경상북도,경상북도,경상남도,경상남도,제주도,제주도
시점,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어
2000.08,77024,13862,1595,-,4828,195,2665,0,3489,10,13881,1536,8583,1151,15957,1690,4398,707
2000.09,100035,12876,1563,-,5620,75,3091,0,3002,3,14948,217,13852,308,17453,2603,3252,109
2000.1,185159,12383,1772,-,5275,119,5115,6,5626,4,25678,361,29918,2930,27800,4987,4636,77
2000.11,150077,20151,2187,-,6068,88,8566,1,6623,11,25593,755,15464,888,21092,4332,7795,171
2000.12,153042,17408,1802,-,6975,24,3149,0,4376,21,26088,470,17645,1618,25615,1885,4393,440
2001.01,97783,16903,2129,-,2436,2,982,0,1687,6,11284,293,12175,305,18974,1778,1843,376
2001.02,65147,10190,1211,-,2925,0,966,0,1043,0,9421,1205,4698,6,15454,1048,2581,763
2001.03,90425,8830,1098,-,3351,0,1505,0,3456,2,7625,251,3857,14,24152,1745,2412,476
2001.04,65779,10879,1077,-,4112,0,8023,-,1973,0,9130,225,5146,43,10928,1507,2270,252
2001.05,60831,4532,998,-,3990,0,5238,-,2725,-,14311,31,4373,20,10091,538,3149,302
2001.06,57163,2937,1917,-,5174,0,3827,-,2559,0,13855,22,4298,20,8340,266,5313,169
2001.07,86968,4481,1010,-,3980,0,3645,-,3976,0,18643,41,6844,55,28581,414,4016,277
2001.08,107436,16395,1049,-,5220,45,4442,1,3576,0,18183,399,10189,172,28069,991,4062,677
2001.09,137609,16782,1213,-,7227,67,6041,0,5202,10,19247,513,18669,110,21618,1189,3934,372
2001.1,181608,28664,1406,-,5035,29,5609,116,5084,13,23878,1400,24708,16,29170,3380,3343,704
2001.11,143658,45126,1668,-,5314,30,3461,102,4615,8,21814,2328,14132,86,20155,5777,7558,758
2001.12,157692,37998,850,-,7728,50,2454,0,2841,14,15898,1365,17614,101,34369,7463,3949,363
2002.01,107773,10773,851,-,2792,10,1037,-,2213,7,12047,140,9775,33,25452,870,2348,227
2002.02,67306,9127,688,-,2515,6,709,-,1183,3,6879,266,3765,5,22486,721,3126,816
2002.03,68181,6206,1029,-,1442,7,1650,-,1914,14,9464,86,3553,0,21591,346,4043,674
2002.04,49212,4497,651,-,1701,4,3223,-,1932,6,6974,28,5503,9,9823,572,2300,249
2002.05,55262,1444,1132,-,3154,1,5481,-,2825,-,8625,4,6770,0,9724,132,2605,141
2002.06,47856,1742,1578,-,3588,5,4170,-,3371,0,9894,3,4089,1,6698,83,3528,204
2002.07,66995,5931,1929,-,3935,2,7345,-,3504,0,14611,24,5017,0,13000,111,2696,493
2002.08,85035,9828,1582,-,4485,8,5086,0,5759,19,17392,142,9024,33,16315,512,4511,996
