시점,연근해어업,갈치,고등어,망치고등어,꽁치,노가리,멸치,명태,방어류,병어류,삼치류,전갱이류,정어리,쥐치류,청어,살오징어(오징어)
2003.02,58685,5169,3956,-,2,-,17614,77,35,494,2891,894,0,109,262,1257
2003.03,67019,2524,3862,-,24,-,25059,39,85,408,1107,1487,0,99,630,1406
2003.04,50187,941,2203,-,42,-,7514,3,127,204,745,1472,16,69,239,1665
2003.05,61321,1657,1503,-,510,-,14176,1,306,502,439,940,-,51,254,2394
2003.06,60932,2672,3892,-,566,-,11568,0,124,734,49,859,0,27,714,2614
2003.07,77159,6683,6070,-,5,-,34323,0,152,422,132,1021,-,41,68,4094
2003.08,86348,6203,9834,-,0,-,33621,1,102,328,338,824,0,81,32,13546
2003.09,97229,7979,13413,-,1,-,18090,4,192,828,481,1165,0,147,53,30485
2003.10,174951,8667,12109,-,2,-,26373,1,373,990,1162,2487,0,221,23,91397
2003.11,135523,8636,39013,-,50,-,15471,0,340,792,2722,3687,0,197,215,29759
2003.12,130365,5965,17399,-,163,-,21658,0,1342,894,7365,3013,2,142,107,40608
2004.01,82921,3890,3735,-,28,-,16286,21,956,999,3481,1966,0,216,629,22684
2004.02,66749,2795,4362,-,2,-,20817,25,516,1112,4358,1579,39,155,523,7629
2004.03,59566,1437,2909,-,44,-,21198,14,256,694,1937,1554,9,90,127,2519
2004.04,46556,773,1477,-,186,-,9117,2,419,465,954,2627,26,52,340,1084
2004.05,48462,995,4168,-,956,-,7884,0,660,712,382,1946,6,44,1277,2079
2004.06,58207,1675,1794,-,901,-,11379,0,164,1785,119,2219,2,35,763,4677
2004.07,64001,2387,4014,-,172,-,19192,0,106,904,242,4287,1,29,352,8495
2004.08,87518,7227,9598,-,0,-,32854,0,214,285,390,2399,3,60,60,14966
2004.09,113303,7631,23225,-,1,-,18953,0,339,277,1359,2000,0,137,30,35952
2004.10,161578,15444,40137,-,27,-,13429,0,890,551,2915,1452,1,173,15,52910
2004.11,148434,14032,56099,-,324,-,10817,0,532,711,4127,1708,2,163,96,22626
2004.12,139392,8005,32756,-,319,-,14720,2,269,791,6358,1776,126,113,901,37139
2005.01,94405,5043,12775,-,15,-,17492,1,495,999,5546,5852,38,104,475,17209
2005.02,51002,4219,2347,-,1,-,14862,14,49,513,3655,3254,-,104,394,2671
2005.03,76100,1939,3921,-,6,-,30233,1,248,396,2936,2766,0,115,535,2441
2005.04,59117,1616,2406,-,222,-,13652,0,102,319,964,4239,8,64,664,861
2005.05,67182,2069,1904,-,1855,-,15758,0,149,1893,1059,1353,-,76,1353,2970
2005.06,84881,3612,14728,-,1615,-,12251,0,320,1819,46,6290,-,45,1347,6366
2005.07,85985,3828,10818,-,68,-,35282,0,94,718,81,1924,-,36,602,10430
2005.08,95861,10598,11923,-,0,-,32123,0,268,295,488,2463,-,18,336,14900
2005.09,101732,8642,7771,-,7,-,20201,0,112,737,1552,4349,-,74,79,31191
