date,nino3.4 index,ONI index,nino3.4 수온 평균,nino3.4 수온 평균(3개),nino3.4 수온 평평균,nino3.4 수온 표준편차
1997 01,-0.62594,-0.540357,25.868668,26.039404,26.494608,1.164648
1996 12,-0.616616,-0.561207,25.960222,26.048038,26.576839,1.219633
1996 11,-0.441064,-0.543836,26.315228,26.133524,26.75629,1.177667
1996 10,-0.573828,-0.455537,26.12512,26.261299,26.69895,1.01164
1996 09,-0.351718,-0.410673,26.34355,26.332508,26.695267,0.834961
1996 08,-0.306472,-0.338581,26.528856,26.586157,26.835327,0.818931
1996 07,-0.357551,-0.380698,26.886066,26.867239,27.243618,0.677102
1996 06,-0.478071,-0.447152,27.186792,27.136145,27.664865,0.627709
1996 05,-0.505833,-0.492435,27.335573,27.266735,27.841408,0.614643
1996 04,-0.493399,-0.556657,27.277838,27.040989,27.771236,0.657626
1996 03,-0.670739,-0.650845,26.509556,26.555609,27.180296,0.817327
1996 02,-0.788396,-0.764535,25.879435,26.016376,26.667831,1.007264
1996 01,-0.83447,-0.851715,25.660137,25.728045,26.494608,1.164648
1995 12,-0.93228,-0.932687,25.64456,25.676559,26.576839,1.219633
1995 11,-1.031312,-0.977373,25.724979,25.699987,26.75629,1.177667
1995 10,-0.968527,-0.890228,25.730421,25.826609,26.69895,1.01164
1995 09,-0.670845,-0.744762,26.024422,25.998419,26.695267,0.834961
1995 08,-0.594915,-0.497714,26.240414,26.427025,26.835327,0.818931
1995 07,-0.227383,-0.400438,27.016235,26.8475,27.243618,0.677102
1995 06,-0.379018,-0.27948,27.285847,27.303816,27.664865,0.627709
1995 05,-0.232041,-0.177703,27.609367,27.581467,27.841408,0.614643
1995 04,0.07795,0.047495,27.849188,27.645142,27.771236,0.657626
1995 03,0.296577,0.343189,27.476871,27.549643,27.180296,0.817327
1995 02,0.655039,0.574902,27.322868,27.355812,26.667831,1.007264
1995 01,0.77309,0.87563,27.267698,27.455391,26.494608,1.164648
1994 12,1.198763,0.970232,27.775602,27.579479,26.576839,1.219633
1994 11,0.938844,0.920423,27.695135,27.597782,26.75629,1.177667
1994 10,0.623662,0.612349,27.322611,27.329184,26.69895,1.01164
1994 09,0.274539,0.44375,26.969807,27.186932,26.695267,0.834961
1994 08,0.433048,0.23006,27.268375,27.154799,26.835327,0.818931
1994 07,-0.017406,0.185148,27.226212,27.433084,27.243618,0.677102
1994 06,0.139802,0.08139,27.804667,27.664686,27.664865,0.627709
1994 05,0.121775,0.112295,27.963182,27.871466,27.841408,0.614643
1994 04,0.075309,0.112336,27.846546,27.709982,27.771236,0.657626
1994 03,0.139923,0.042979,27.320217,27.249434,27.180296,0.817327
1994 02,-0.086296,0.021488,26.581533,26.802399,26.667831,1.007264
1994 01,0.010838,0.002045,26.505445,26.581804,26.494608,1.164648
1993 12,0.081594,0.051799,26.658434,26.661045,26.576839,1.219633
1993 11,0.062964,0.109528,26.819256,26.786888,26.75629,1.177667
1993 10,0.184027,0.157775,26.882977,26.874611,26.69895,1.01164
1993 09,0.226334,0.11736,26.921602,26.86054,26.695267,0.834961
1993 08,-0.058282,0.127244,26.777046,27.051983,26.835327,0.818931
1993 07,0.21368,0.104191,27.457298,27.352127,27.243618,0.677102
1993 06,0.157176,0.348326,27.822041,27.931623,27.664865,0.627709
1993 05,0.674122,0.389609,28.51553,28.148779,27.841408,0.614643
